id,parentId,name,massKg,meanRadiusM,albedo,gm,equatorialRadiusM,densityKgM3,siderealRotationPeriodS,orbitRotationPeriodS,equatorialGravity,escapeVelocityM
552,5,S/2003 J2,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
553,5,S/2003 J3,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
554,5,S/2003 J4,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
555,5,S/2003 J5,89920105985831.59,2000.0,0.04,6000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
556,5,S/2003 J9,1498668433097.193,500.0,0.04,100.0,0.0,2600.0,0.0,0.0,0.0,0.0,
557,5,S/2003 J10,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
558,5,S/2003 J12,1498668433097.193,500.0,0.04,100.0,0.0,2600.0,0.0,0.0,0.0,0.0,
559,5,S/2003 J15,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
560,5,S/2003 J16,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
561,5,S/2003 J18,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
562,5,S/2003 J19,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
563,5,S/2003 J23,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
564,5,S/2010 J1,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
565,5,S/2010 J2,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
566,5,S/2011 J1,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
567,5,S/2011 J2,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
601,6,Mimas,3.750567620669036e+019,198200.0,0.962,2502600000.0,0.0,1150.0,0.0,0.0,0.0,0.0,
602,6,Enceladus,1.079445912306915e+020,252100.0,1.375,7202700000.0,0.0,1608.0,0.0,0.0,0.0,0.0,
603,6,Tethys,6.175518052210611e+020,533000.0,1.229,41206700000.0,0.0,973.0,0.0,0.0,0.0,0.0,
604,6,Dione,1.09574543018528e+021,561700.0,0.998,73114600000.0,0.0,1476.0,0.0,0.0,0.0,0.0,
605,6,Rhea,2.30708915128908e+021,764300.0,0.949,153942600000.0,0.0,1233.0,0.0,0.0,0.0,0.0,
606,6,Titan,1.345525230832405e+023,2574730.0,0.2,8978138200000.0,0.0,1882.0,0.0,0.0,0.0,0.0,
607,6,Hyperion,5.58553725015324e+018,135000.0,0.3,372700000.0,0.0,544.0,0.0,0.0,0.0,0.0,
608,6,Iapetus,1.805952411282576e+021,735600.0,0.6,120503800000.0,0.0,1083.0,0.0,0.0,0.0,0.0,
609,6,Phoebe,8.290633771893673e+018,106500.0,0.081,553200000.0,0.0,1638.0,0.0,0.0,0.0,0.0,
610,6,Janus,1.892818231001755e+018,89500.0,0.71,126300000.0,0.0,630.0,0.0,0.0,0.0,0.0,
611,6,Epimetheus,5.260326200171148e+017,58100.0,0.73,35100000.0,0.0,640.0,0.0,0.0,0.0,0.0,
612,6,Helene,1.138988009153867e+016,17600.0,1.67,760000.0,0.0,500.0,0.0,0.0,0.0,0.0,
613,6,Telesto,4046404769362422.0,12400.0,1.0,270000.0,0.0,500.0,0.0,0.0,0.0,0.0,
614,6,Calypso,2547736336265229.0,10700.0,1.34,170000.0,0.0,500.0,0.0,0.0,0.0,0.0,
615,6,Atlas,6594141105627650.0,15100.0,0.4,440000.0,0.0,460.0,0.0,0.0,0.0,0.0,
616,6,Prometheus,1.609569897146386e+017,43100.0,0.6,10740000.0,0.0,480.0,0.0,0.0,0.0,0.0,
617,6,Pandora,1.384769632181807e+017,40700.0,0.5,9240000.0,0.0,490.0,0.0,0.0,0.0,0.0,
618,6,Pan,4945605829220738.0,14100.0,0.5,330000.0,0.0,420.0,0.0,0.0,0.0,0.0,
619,6,Methone,8992010598583.16,1600.0,0.0,600.0,0.0,500.0,0.0,0.0,0.0,0.0,
620,6,Pallene,32970705528138.25,2500.0,0.0,2200.0,0.0,500.0,0.0,0.0,0.0,0.0,
621,6,Polydeuces,4496005299291.58,1300.0,0.0,300.0,0.0,500.0,0.0,0.0,0.0,0.0,
622,6,Daphnis,77930758521054.05,3800.0,0.0,5200.0,0.0,340.0,0.0,0.0,0.0,0.0,
623,6,Anthe,1498668433097.193,900.0,0.0,100.0,0.0,500.0,0.0,0.0,0.0,0.0,
624,6,Aegaeon,59946737323.88773,300.0,0.0,4.0,0.0,500.0,0.0,0.0,0.0,0.0,
625,6,Ymir,4945605829220738.0,9000.0,0.06,330000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
626,6,Paaliaq,8242676382034563.0,11000.0,0.06,550000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
627,6,Tarvos,2697603179574948.0,7500.0,0.06,180000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
628,6,Ijiraq,1198934746477755.0,6000.0,0.06,80000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
629,6,Suttungr,209813580633607.1,3500.0,0.06,14000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
630,6,Kiviuq,3297070552813825.0,8000.0,0.06,220000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
